FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
790,1,0,0,0,17.384984,1.629184,0.436224,3.308544,0.755712,0.361406,13.293008,3.516707,0.068424,0.394685,0.060960,-15.904025,-3.492759,-2.740090,-2.722362,-2.699968,-1.440647
791,1,0,0,0,17.401634,1.646592,0.440320,3.316736,0.744448,0.281162,13.416795,1.927082,0.067802,0.382244,0.026126,-16.748756,-3.463523,-2.975532,-2.959359,-2.938831,-1.858036
792,1,0,0,0,17.418291,1.633280,0.431104,3.189760,0.744320,0.283340,13.402800,1.417631,0.052873,0.414590,0.022393,-16.899288,-3.487159,-3.006322,-2.989837,-2.967444,-2.066729
793,1,0,0,0,17.434950,1.629184,0.427008,3.160064,0.744352,0.293603,13.023355,1.306285,0.047586,0.009642,0.026126,-16.886848,-3.486848,-2.130177,-1.994262,-1.966581,-0.338701
794,1,0,0,0,17.451611,1.627136,0.438272,3.203072,0.749568,0.316619,13.347437,3.063239,0.070913,0.379134,0.025504,-16.221266,-3.469432,-2.956248,-2.914261,-2.890001,-1.465528
795,1,0,0,0,17.468269,1.631232,0.427008,3.189760,0.747520,0.334347,13.368275,1.859591,0.083664,0.378201,0.023016,-16.796343,-3.488716,-2.946607,-2.929190,-2.906175,-1.742648
796,1,0,0,0,17.484924,1.633280,0.441344,3.240960,0.745472,0.306977,13.331575,1.505027,0.069358,0.396240,0.023016,-16.800695,-3.483427,-2.913638,-2.877248,-2.853300,-1.488854
797,1,0,0,0,17.501583,1.633280,0.429056,3.262464,0.744448,0.355496,10.309080,1.875142,0.056295,0.009331,0.023327,-16.780790,-3.476896,-2.873517,-2.839304,-2.815045,2.259563
798,1,0,0,0,17.518244,1.634304,0.586752,3.699712,0.745120,0.384421,13.326909,5.601476,0.053807,0.074956,0.025193,-13.743677,-3.488715,-2.988906,-2.966201,-2.943497,-0.893562
799,1,0,0,0,17.534907,1.666048,0.433152,3.251200,0.745312,0.297646,13.381650,2.460482,0.066558,0.382555,0.028614,-16.745335,-3.491203,-2.857033,-2.832462,-2.807580,-1.271762
800,1,0,0,0,17.551564,1.633280,0.431104,3.206144,0.743424,0.318174,0.519404,2.070773,0.051318,0.009642,0.097660,-16.834908,-3.474408,9.357979,9.381306,9.408987,12.045506
801,1,0,0,0,17.568221,12.863488,0.428032,14.459905,0.746496,0.390953,5.455607,15.354762,0.077444,0.011508,0.025504,-3.857274,-3.450460,-2.680685,-2.662645,-2.639630,7.059850
